,Start time (ms),Finish time (ms),Total execution time (ms),QoS (ms),Isolated execution time (ms)
0,0.0,0.18703799999999998,0.18703799999999998,15.0,0.10852200000000001
1,0.0,0.588559,0.588559,10.0,0.428879
2,1.758701,1.867223,0.10852200000000001,15.0,0.10852200000000001
3,1.867815,1.9763369999999998,0.10852200000000001,15.0,0.10852200000000001
4,1.0,1.187289,0.18728899999999998,15.0,0.10852200000000001
5,1.989809,3.093622,1.103813,100.0,0.369423
6,2.0,8.56674,6.566739999999999,15.0,0.61712
7,1.0,7.993804,6.993804,50.0,1.291552
8,1.0,8.220764,7.220764,100.0,0.369423
9,2.0,9.306778999999999,7.306779000000001,100.0,0.6368510000000001
